Game #	df-opt	a-star	df-search
9278	172	139	88
14070	132	127	92
988	160	119	103
169	177	144	110
20581	125	118	115
27201	144	160	116
19146	125	116	120
21560	141	119	120
15704	131	120	121
12795	129	135	124
24735	127	107	127
7305	152	138	128
4609	128	135	131
25602	140	119	134
6255	161	122	135
29580	141	146	140
2241	130	118	145
17863	152	132	148
30952	177	137	149
